eVal,Num_Unique_Sequences,num_in_bucket,percent_of_total_alignments,
"0.1 - 1E-05",2505,1486,1,
"1E-05 - 1E-10",1019,614,0.9726109139,
"1E-10 - 1E-15",405,175,0.9542396887,
"1E-15 - 1E-20",230,89,0.9420177673,
"1E-20 - 1E-25",141,43,0.9293788628,
"1E-25 - 1E-30",98,18,0.9150528538,
"1E-30 - 1E-35",80,26,0.9019370547,
"1E-35 - 1E-40",54,13,0.8877668153,
"1E-40 - 1E-45",41,8,0.8709029603,
"1E-45 - 1E-50",33,7,0.8524981847,
"1E-50 - 1E-55",26,6,0.8331372234,
"1E-55 - 1E-60",20,3,0.8129327099,
"1E-60 - 1E-65",17,1,0.7877196052,
"1E-65 - 1E-70",16,2,0.7524557674,
"1E-70 - 1E-75",14,2,0.6991586046,
"1E-75 - 1E-80",12,2,0.6171854593,
"1E-80 - 0",10,10,0.4981008093,